ID;date;ship
HDD;01-Jan-00;10
HDD;01-Feb-00;20
HDD;01-Mar-00;30
HDD;01-Apr-00;40
HDD;01-May-00;50
HDD;01-Jun-00;60
HDD;01-Jul-00;70
HDD;01-Aug-00;80
HDD;01-Sep-00;90
HDD;01-Oct-00;100
HDD;01-Nov-00;110
HDD;01-Dec-00;120
HDD;01-Jan-01;130
HDD;01-Feb-01;140
HDD;01-Mar-01;150
HDD;01-Apr-01;160
HDD;01-May-01;170
HDD;01-Jun-01;180
HDD;01-Jul-01;190
HDD;01-Aug-01;200
HDD;01-Sep-01;210
HDD;01-Oct-01;220
HDD;01-Nov-01;230
HDD;01-Dec-01;240
HDD;01-Jan-02;250
HDD;01-Feb-02;260
HDD;01-Mar-02;270
HDD;01-Apr-02;280
HDD;01-May-02;290
HDD;01-Jun-02;300
HDD;01-Jul-02;310
HDD;01-Aug-02;320
HDD;01-Sep-02;330
HDD;01-Oct-02;340
HDD;01-Nov-02;350
HDD;01-Dec-02;360
HDD;01-Jan-03;370
HDD;01-Feb-03;380
HDD;01-Mar-03;390
HDD;01-Apr-03;400
HDD;01-May-03;410
HDD;01-Jun-03;420
HDD;01-Jul-03;430
HDD;01-Aug-03;440
HDD;01-Sep-03;450
HDD;01-Oct-03;460
HDD;01-Nov-03;470
HDD;01-Dec-03;480
HDD;01-Jan-04;490
HDD;01-Feb-04;500
HDD;01-Mar-04;510
HDD;01-Apr-04;520
HDD;01-May-04;530
HDD;01-Jun-04;540
HDD;01-Jul-04;550
HDD;01-Aug-04;560
HDD;01-Sep-04;570
HDD;01-Oct-04;580
HDD;01-Nov-04;590
HDD;01-Dec-04;600
HDD;01-Jan-05;610
HDD;01-Feb-05;620
HDD;01-Mar-05;630
HDD;01-Apr-05;640
HDD;01-May-05;650
HDD;01-Jun-05;660
HDD;01-Jul-05;670
HDD;01-Aug-05;680
HDD;01-Sep-05;690
HDD;01-Oct-05;700
HDD;01-Nov-05;710
HDD;01-Dec-05;720
HDD;01-Jan-06;730
HDD;01-Feb-06;740
HDD;01-Mar-06;750
HDD;01-Apr-06;760
HDD;01-May-06;770
HDD;01-Jun-06;780
HDD;01-Jul-06;790
HDD;01-Aug-06;800
HDD;01-Sep-06;810
HDD;01-Oct-06;820
HDD;01-Nov-06;830
HDD;01-Dec-06;840
HDD;01-Jan-07;850
HDD;01-Feb-07;860
HDD;01-Mar-07;870
HDD;01-Apr-07;880
HDD;01-May-07;890
HDD;01-Jun-07;900
HDD;01-Jul-07;910
HDD;01-Aug-07;920
HDD;01-Sep-07;930
HDD;01-Oct-07;940
HDD;01-Nov-07;950
HDD;01-Dec-07;960
HDD;01-Jan-08;970
HDD;01-Feb-08;980
HDD;01-Mar-08;990
HDD;01-Apr-08;1000
HDD;01-May-08;1010
HDD;01-Jun-08;1020
HDD;01-Jul-08;1030
HDD;01-Aug-08;1040
HDD;01-Sep-08;1050
HDD;01-Oct-08;1060
HDD;01-Nov-08;1070
HDD;01-Dec-08;1080
HDD;01-Jan-09;1090
HDD;01-Feb-09;1100
HDD;01-Mar-09;1110
HDD;01-Apr-09;1120
HDD;01-May-09;1130
HDD;01-Jun-09;1140
HDD;01-Jul-09;1150
HDD;01-Aug-09;1160
HDD;01-Sep-09;1170
HDD;01-Oct-09;1180
HDD;01-Nov-09;1190
HDD;01-Dec-09;1200
HDD;01-Jan-10;1210
HDD;01-Feb-10;1220
HDD;01-Mar-10;1230
HDD;01-Apr-10;1240
HDD;01-May-10;1250
HDD;01-Jun-10;1260
HDD;01-Jul-10;1250
HDD;01-Aug-10;1240
HDD;01-Sep-10;1230
HDD;01-Oct-10;1220
HDD;01-Nov-10;1210
HDD;01-Dec-10;1200
HDD;01-Jan-11;1190
HDD;01-Feb-11;1180
HDD;01-Mar-11;1170
HDD;01-Apr-11;1160
HDD;01-May-11;1150
HDD;01-Jun-11;1140
HDD;01-Jul-11;1130
HDD;01-Aug-11;1120
HDD;01-Sep-11;1110
HDD;01-Oct-11;1100
HDD;01-Nov-11;1090
HDD;01-Dec-11;1080
HDD;01-Jan-12;1070
HDD;01-Feb-12;1060
HDD;01-Mar-12;1050
HDD;01-Apr-12;1040
HDD;01-May-12;1030
HDD;01-Jun-12;1020
HDD;01-Jul-12;1010
HDD;01-Aug-12;1000
HDD;01-Sep-12;990
HDD;01-Oct-12;980
HDD;01-Nov-12;970
HDD;01-Dec-12;960
HDD;01-Jan-13;950
HDD;01-Feb-13;940
HDD;01-Mar-13;930
HDD;01-Apr-13;920
HDD;01-May-13;910
HDD;01-Jun-13;900
HDD;01-Jul-13;890
HDD;01-Aug-13;880
HDD;01-Sep-13;870
HDD;01-Oct-13;860
HDD;01-Nov-13;850
HDD;01-Dec-13;840
HDD;01-Jan-14;830
HDD;01-Feb-14;820
HDD;01-Mar-14;810
HDD;01-Apr-14;800
HDD;01-May-14;790
HDD;01-Jun-14;780
HDD;01-Jul-14;770
HDD;01-Aug-14;760
HDD;01-Sep-14;750
HDD;01-Oct-14;740
HDD;01-Nov-14;730
HDD;01-Dec-14;720
HDD;01-Jan-15;710
HDD;01-Feb-15;700
HDD;01-Mar-15;690
HDD;01-Apr-15;680
HDD;01-May-15;670
HDD;01-Jun-15;660
HDD;01-Jul-15;650
HDD;01-Aug-15;640
HDD;01-Sep-15;630
HDD;01-Oct-15;620
HDD;01-Nov-15;610
HDD;01-Dec-15;600
HDD;01-Jan-16;590
HDD;01-Feb-16;580
HDD;01-Mar-16;570
HDD;01-Apr-16;560
HDD;01-May-16;550
HDD;01-Jun-16;540
HDD;01-Jul-16;530
HDD;01-Aug-16;520
HDD;01-Sep-16;510
HDD;01-Oct-16;500
HDD;01-Nov-16;490
HDD;01-Dec-16;480
HDD;01-Jan-17;470
HDD;01-Feb-17;460
HDD;01-Mar-17;450
HDD;01-Apr-17;440
HDD;01-May-17;430
HDD;01-Jun-17;420
HDD;01-Jul-17;410
HDD;01-Aug-17;400
HDD;01-Sep-17;390
HDD;01-Oct-17;380
HDD;01-Nov-17;370
HDD;01-Dec-17;360
HDD;01-Jan-18;350
HDD;01-Feb-18;340
HDD;01-Mar-18;330
HDD;01-Apr-18;320
HDD;01-May-18;310
HDD;01-Jun-18;300
HDD;01-Jul-18;290
HDD;01-Aug-18;280
HDD;01-Sep-18;270
HDD;01-Oct-18;260
HDD;01-Nov-18;250
HDD;01-Dec-18;240
HDD;01-Jan-19;230
HDD;01-Feb-19;220
HDD;01-Mar-19;210
HDD;01-Apr-19;200
HDD;01-May-19;190
HDD;01-Jun-19;180
HDD;01-Jul-19;170
HDD;01-Aug-19;160
HDD;01-Sep-19;150
HDD;01-Oct-19;140
HDD;01-Nov-19;130
HDD;01-Dec-19;120
HDD;01-Jan-20;110
HDD;01-Feb-20;100
HDD;01-Mar-20;90
HDD;01-Apr-20;80
HDD;01-May-20;70
HDD;01-Jun-20;60
HDD;01-Jul-20;50
HDD;01-Aug-20;40
HDD;01-Sep-20;30
HDD;01-Oct-20;20
CARD;01-Jan-00;10
CARD;01-Feb-00;20
CARD;01-Mar-00;30
CARD;01-Apr-00;40
CARD;01-May-00;50
CARD;01-Jun-00;60
CARD;01-Jul-00;70
CARD;01-Aug-00;80
CARD;01-Sep-00;90
CARD;01-Oct-00;100
CARD;01-Nov-00;110
CARD;01-Dec-00;120
CARD;01-Jan-01;130
CARD;01-Feb-01;140
CARD;01-Mar-01;150
CARD;01-Apr-01;160
CARD;01-May-01;170
CARD;01-Jun-01;180
CARD;01-Jul-01;190
CARD;01-Aug-01;200
CARD;01-Sep-01;210
CARD;01-Oct-01;220
CARD;01-Nov-01;230
CARD;01-Dec-01;240
CARD;01-Jan-02;250
CARD;01-Feb-02;260
CARD;01-Mar-02;270
CARD;01-Apr-02;280
CARD;01-May-02;290
CARD;01-Jun-02;300
CARD;01-Jul-02;310
CARD;01-Aug-02;320
CARD;01-Sep-02;330
CARD;01-Oct-02;340
CARD;01-Nov-02;350
CARD;01-Dec-02;360
CARD;01-Jan-03;370
CARD;01-Feb-03;380
CARD;01-Mar-03;390
CARD;01-Apr-03;400
CARD;01-May-03;410
CARD;01-Jun-03;420
CARD;01-Jul-03;430
CARD;01-Aug-03;440
CARD;01-Sep-03;450
CARD;01-Oct-03;460
CARD;01-Nov-03;470
CARD;01-Dec-03;480
CARD;01-Jan-04;490
CARD;01-Feb-04;500
CARD;01-Mar-04;510
CARD;01-Apr-04;520
CARD;01-May-04;530
CARD;01-Jun-04;540
CARD;01-Jul-04;550
CARD;01-Aug-04;560
CARD;01-Sep-04;570
CARD;01-Oct-04;580
CARD;01-Nov-04;590
CARD;01-Dec-04;600
CARD;01-Jan-05;610
CARD;01-Feb-05;620
CARD;01-Mar-05;630
CARD;01-Apr-05;640
CARD;01-May-05;650
CARD;01-Jun-05;660
CARD;01-Jul-05;670
CARD;01-Aug-05;680
CARD;01-Sep-05;690
CARD;01-Oct-05;700
CARD;01-Nov-05;710
CARD;01-Dec-05;720
CARD;01-Jan-06;730
CARD;01-Feb-06;740
CARD;01-Mar-06;750
CARD;01-Apr-06;760
CARD;01-May-06;770
CARD;01-Jun-06;780
CARD;01-Jul-06;790
CARD;01-Aug-06;800
CARD;01-Sep-06;810
CARD;01-Oct-06;820
CARD;01-Nov-06;830
CARD;01-Dec-06;840
